Epoch, Train Recon Loss, Test Recon Loss, R Loss train, R Loss test, Rendering Loss train, Rendering Loss test, Train Time, Test Time
0,0.005618,0.045900,0.014870,0.172734,0.007786,0.024834,58.59,29.87
1,0.005093,0.047762,0.012039,0.173222,0.006663,0.024658,48.57,29.92
2,0.004432,0.047644,0.012746,0.169779,0.006197,0.024665,46.20,30.38
3,0.004349,0.048549,0.011313,0.176449,0.005511,0.023948,43.29,30.81
4,0.003967,0.049105,0.009836,0.178482,0.005219,0.024660,41.66,30.16
5,0.003785,0.048911,0.009684,0.192193,0.004994,0.023600,39.86,30.48
6,0.003641,0.048604,0.008054,0.199719,0.004705,0.023333,38.80,29.94
7,0.003519,0.049352,0.008108,0.203927,0.004458,0.025373,38.57,30.31
8,0.003456,0.049915,0.008063,0.215168,0.004374,0.022569,39.37,31.58
9,0.003223,0.050819,0.008061,0.219295,0.004065,0.023498,40.06,30.33
10,0.003344,0.051817,0.009819,0.241942,0.004316,0.022658,39.50,29.66
11,0.003280,0.053373,0.008831,0.248662,0.004008,0.021715,37.40,29.65
12,0.003051,0.054685,0.005916,0.268034,0.003566,0.021564,37.01,29.42
13,0.002985,0.053589,0.008124,0.264560,0.003941,0.020884,36.62,29.42
14,0.003070,0.053211,0.006999,0.269647,0.003556,0.021587,36.52,29.35
15,0.003018,0.053676,0.009083,0.268226,0.003776,0.021037,36.23,29.55
16,0.003063,0.055798,0.008848,0.289347,0.003715,0.020467,43.69,90.31
17,0.002968,0.057326,0.007481,0.291689,0.003638,0.020546,63.56,59.44
18,0.002880,0.056261,0.007686,0.283679,0.003576,0.020910,51.86,28.84
19,0.002841,0.059303,0.006176,0.307744,0.003312,0.019723,46.48,28.67
20,0.002889,0.058443,0.008118,0.304918,0.003452,0.019956,41.46,28.47
21,0.002743,0.060129,0.006116,0.313556,0.003255,0.019917,39.95,28.48
22,0.002702,0.060255,0.007058,0.318276,0.003229,0.020226,38.53,28.49
23,0.002653,0.060057,0.006670,0.331089,0.003314,0.020846,37.45,28.40
24,0.002728,0.062275,0.005656,0.324383,0.003160,0.020271,35.97,28.47
25,0.002694,0.063012,0.005173,0.331217,0.003058,0.020568,35.81,28.37
26,0.002648,0.061212,0.007376,0.312796,0.003313,0.020111,34.93,28.42
27,0.002604,0.060823,0.004219,0.315204,0.002961,0.020893,34.69,28.46
28,0.002779,0.058232,0.007790,0.289020,0.003725,0.021132,34.35,28.44
29,0.003718,0.057312,0.012683,0.251213,0.004505,0.020391,34.59,28.44
30,0.003645,0.054000,0.011318,0.236593,0.004543,0.019805,34.15,28.43
31,0.003344,0.053662,0.008610,0.236280,0.004087,0.018925,33.96,28.34
32,0.002864,0.054084,0.006788,0.240217,0.003638,0.020125,33.80,28.39
33,0.002968,0.055449,0.006253,0.242388,0.003476,0.018408,34.02,28.46
34,0.002863,0.056670,0.009507,0.244920,0.003707,0.019215,33.88,28.66
35,0.002712,0.057135,0.007888,0.260506,0.003355,0.018991,33.70,28.42
36,0.002678,0.056860,0.005626,0.256125,0.003079,0.019767,33.70,28.46
37,0.002571,0.056895,0.005933,0.256020,0.003151,0.019088,33.82,28.52
38,0.002637,0.058038,0.005988,0.264845,0.003028,0.019367,33.63,28.44
39,0.002580,0.059092,0.005428,0.285622,0.003017,0.020532,33.72,28.46
40,0.002547,0.058232,0.006152,0.277294,0.003046,0.020047,33.94,28.42
41,0.002551,0.057179,0.006489,0.263512,0.003031,0.020240,33.69,28.41
42,0.002447,0.057552,0.004758,0.274552,0.002879,0.019993,33.55,28.43
43,0.002469,0.057966,0.006288,0.283898,0.003072,0.020541,33.61,28.39
44,0.002578,0.064032,0.006312,0.330348,0.002980,0.021103,33.86,28.40
45,0.002497,0.063214,0.005124,0.343847,0.002807,0.021205,33.64,28.43
46,0.002388,0.062824,0.005643,0.312997,0.003048,0.021066,33.53,28.40
47,0.002567,0.063106,0.005233,0.332015,0.002811,0.021746,33.51,28.37
48,0.002514,0.065211,0.004391,0.341915,0.002750,0.020953,33.59,28.41
49,0.002318,0.062971,0.006009,0.324101,0.002994,0.021324,33.66,28.42
